;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
101;204355;Da Vitória;CIDADANIA;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;2
102;204356;Amaro Neto;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
103;204358;Beto Pereira;PSDB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
104;204359;Léo Moraes;PODE;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0
105;204360;Silvia Cristina;PDT;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
106;204363;Osires Damaso;PSC;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
107;204365;Gilson Marques;NOVO;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0
108;204367;Daniel Freitas;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
109;204368;Fabio Schiochet;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
110;204369;Caroline de Toni;PSL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
111;204370;Célio Moura;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
112;204372;Julio Cesar Ribeiro;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
113;204373;Hélio Costa;REPUBLICANOS;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
114;204374;Bia Kicis;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
115;204377;Paula Belmonte;CIDADANIA;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0
116;204378;Coronel Chrisóstomo;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
117;204382;Loester Trutis;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
118;204383;Professor Israel Batista;PV;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
119;204386;Jose Mario Schreiner;DEM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
120;204387;Sargento Fahur;PSD;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
121;204389;Elias Vaz;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
122;204390;Professor Alcides;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1
123;204392;Francisco Jr.;PSD;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
124;204393;Frei Anastacio Ribeiro;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
125;204394;Gervásio Maia;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
126;204396;Vermelho;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
127;204400;Aline Sleutjes;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1
128;204404;Lucas Redecker;PSDB;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0
129;204405;Liziane Bayer;PSB;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2
130;204407;Fernanda Melchionna;PSOL;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0
