;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
99;197438;Tito;AVANTE;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
100;204351;Dr. Luiz Ovando;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
101;204355;Da Vitória;CIDADANIA;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1
102;204356;Amaro Neto;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
103;204358;Beto Pereira;PSDB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
104;204359;Léo Moraes;PODE;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2
105;204360;Silvia Cristina;PDT;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
106;204363;Osires Damaso;PSC;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
107;204365;Gilson Marques;NOVO;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;2
108;204367;Daniel Freitas;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
109;204368;Fabio Schiochet;PSL;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
110;204369;Caroline de Toni;PSL;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
111;204370;Célio Moura;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
112;204372;Julio Cesar Ribeiro;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
113;204373;Hélio Costa;REPUBLICANOS;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
114;204374;Bia Kicis;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
115;204377;Paula Belmonte;CIDADANIA;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2
116;204378;Coronel Chrisóstomo;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
117;204382;Loester Trutis;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
118;204383;Professor Israel Batista;PV;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
119;204386;Jose Mario Schreiner;DEM;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
120;204387;Sargento Fahur;PSD;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
121;204389;Elias Vaz;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
122;204390;Professor Alcides;PP;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0
123;204392;Francisco Jr.;PSD;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
124;204393;Frei Anastacio Ribeiro;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
125;204394;Gervásio Maia;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
126;204396;Vermelho;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
127;204400;Aline Sleutjes;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
